"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Lat","Lon"
"","MILL POND DAM","FERC P-2801","MA02395","-","Local Government","TOWN OF BOURNE, BOURNE NATURAL RESOURCES","13","23","Recreation","Recreation","-","BACK RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.56254","41.77616"
"","FIRESTONE POND DAM #1","-","MA03043","04/17/2014","Private","BORDEN & REMINGTON CORP.","9","15","Other","Other","-","UNNAMED","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-71.165587","41.703047"
"","BEAUMONT POND DAM","FERC P-2801","MA02415","12/16/2004","Private","BEAUMONT POND HOMEOWNERS ASSOC. INC","10","225","Recreation","Recreation","Earth","CANOE RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.197199","42.051448"
"","MAHONEY POND DAM","FERC P-2801","MA02319","10/25/2011","Local Government","CITY OF GARDNER, OFFICE OF THE MAYOR","10","13","Other","Other","Earth","MAHONEY BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.976749","42.556457"
"","AMES POND DAM","FERC P-2801","MA01074","07/17/2009","Private","STONEHILL COLLEGE","10","80","Recreation","Recreation","-","DALEY BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.07298742","42.05585847"
"","PARKERS FORGE POND DAM","FERC P-2801","MA02196","03/22/2014","Private","ANNE COLLINS","8","14.26","Recreation","Recreation","Earth","WINNETUXET RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.82193799","41.94508219"
"","SPRINGFIELD SPORTSMAN'S CLUB DAM","FERC P-2801","MA01922","08/29/2014","Private","SPRINGFIELD SPORTMAN'S CLUB, INC.","14.5","4.3","Recreation","Recreation","-","UNNAMED INTERMITENT STREAM","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.354115","42.076396"
"","PARSONS RESERVOIR DAM","FERC P-2801","MA02348","11/10/2011","Local Government","CITY OF WORCESTER, CONSERVATION COMMISSION","12","27.2","Recreation","Recreation","Earth","PARSONS BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.861094","42.245327"
"","RAMSDALL POND DAM","FERC P-2801","MA01720","-","Private","THE 129 SOUTH MAIN STREET CORP.","9","11.11","-","-","-","BEAVER BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.991543","42.554923"
"","LAKE HIAWATHA DAM","FERC P-2801","MA01167","05/05/2014","Local Government","TOWN OF BLACKSTONE, BOARD OF SELECTMEN","10","700","Recreation","Recreation","Earth","QUICK STREAM","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.498718","42.051671"
"","MONTAUP #3 DAM","FERC P-2801","MA01083","06/08/2007","Local Government","TOWN OF SWANSEA","10","60","Water Supply","Water Supply","-","COLE RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.202885","41.747307"
"","EDGET'S POND DAM","FERC P-2801","MA01983","01/06/2012","Private","MARC DIPIETRO","14","15.8","Other","Other","Earth","LEBANON BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.01131592","42.06403308"
"","SUNTAUG LAKE DAM","FERC P-2801","MA01139","05/23/2014","Local Government","CITY OF PEABODY, DEPARTMENT OF PUBLIC WORKS","17","2700","Water Supply","Water Supply","Earth","IPSWICH RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","01/10/2014","-71.007422","42.528692"
"","RIVULET VILLAGE POND DAM","FERC P-2801","MA02916","09/23/2014","Private","RIVULET, LLC","15.5","100","Flood Control","Flood Control, Recreation","-","TAFT POND","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","03/19/2014","-71.644477","42.087568"
"","RILEY POND DAM","FERC P-2801","MA02862","11/23/2014","Local Government","TOWN OF NORTHBRIDGE, BOARD OF SELECTMEN","5.2","52.3","Recreation","Recreation","Earth","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.66852","42.10448"
"","JOHNS POND DAM","FERC P-2801","MA01040","04/06/2009","Local Government","TOWN OF MASHPEE, CONSERVATION COMMISSION","7.5","1380","Recreation","Recreation","Earth","QUASHNET RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.51421329","41.6354704"
"","CALKINS POND DAM","FERC P-2801","MA01003","01/28/2014","Private","OLD STAGECOACH LAKE ASSOCIATION, INC.","18","71","Recreation","Recreation","Earth","UNNAMED","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.32725","42.072498"
"","GOLDTHWAITE BROOK DAM #2","FERC P-2801","MA01617","08/10/2009","Private","EASTMAN GELATINE CORP.","8","129","Water Supply","Water Supply","Concrete","GOLDTHWAITE BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.94265819","42.52177494"
"","CEDAR MEADOW POND DAM","FERC P-2801","MA00984","06/10/2015","Local Government","CEDAR MEADOW LAKE WATERSHED DISTRICT","15.3","1090","Recreation","Recreation","-","BURNCOAT BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","05/22/2014","-71.93635423","42.22254027"
"","COOLEY HILL RESERVOIR DAM","FERC P-2801","MA01932","05/25/2012","Local Government","TOWN OF BROOKFIELD","18","30.3","Water Supply","Water Supply","Earth","UNNAMED TRIBUTARY TO WILLOW CREEK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.09112912","42.23382795"
"","RICARDI RESERVOIR OFF STREAM STORAGE FACILITY","FERC P-2801","MA02397","-","Local Government","TRI-TOWN WATER BOARD","8.5","550","-","-","-","MONATIQUOT RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","N","N","N","-","-71.01902643","42.19179001"
"","UPPER SPECTACLE POND DAM","FERC P-2801","MA00304","11/03/2010","State","DCR - DEPT. OF CONSERVATION & RECREATION","23","452","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","SPECTACLE BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.11787036","42.17721649"
"","GOLDEN FIELD POND DAM","FERC P-2801","MA00271","-","Private","-","8","53.6","-","-","-","TRIBUTARY OF WEWEANTIC RIVER","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.72615","41.81906"
"","PONDVILLE POND DAM","FERC P-2801","MA00197","09/24/2012","Local Government","TOWN OF AUBURN","14.75","362","Recreation","Recreation","Earth","STONE AND RAMSHORN BROOKS","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.82307383","42.19514799"
"","TIHONET POND #2 DAM","-","MA00030","07/23/2010","Private","A.D. MAKEPEACE COMPANY","26","980","Irrigation","Irrigation","Earth","WANKINCO RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.718798","41.787498"
"","MORLEY SWAMP DAM","FERC P-2801","MA00287","06/30/2009","Private","MARGO MORRISON","8.5","51","Recreation","Recreation","Earth","TRIBUTARY OF BUCK RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.1706347","42.14039654"
"","FACTORY HOLLOW DAM","FERC P-2801","MA00063","07/17/2015","Local Government","TOWN OF AMHERST, DEPARTMENT OF PUBLIC WORKS","31","94","Recreation","Recreation","-","CUSHMAN BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","07/31/2015","-72.51923723","42.41566017"
"","ASHLEY LAKE RESERVOIR","FERC P-2801","MA00313","11/19/2014","Local Government","CITY OF PITTSFIELD, OFFICE OF THE MAYOR","22","1506","Water Supply","Water Supply","-","ASHLEY BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","10/26/2012","-73.16509762","42.38814773"
"","TRIPHAMMER POND DAM","FERC P-2801","MA00298","09/15/2009","Local Government","TOWN OF HINGHAM, BOARD OF SELECTMEN","10","75","Recreation","Recreation","Earth","TRIBUTARY OF WEIR RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-70.86659035","42.22388552"
"","PALMER BROOK DAM","FERC P-2801","MA00205","08/28/2015","Private","PALMER BROOK CORPORATION","33.5","2483","Recreation","Recreation","Earth","WEST BRANCH FARMINGTON RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","12/31/2014","-73.10803791","42.2797303"
"","MURRAY PRINTING COMPANY DAM","FERC P-2801","MA00130","04/10/2014","Private","ABBOTT MILL, LLC","9","5400","Recreation","Recreation","Earth","MERRIMACK RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.487663","42.58006"
"","SILK MILL DAM","FERC P-2801","MA00342","12/15/2010","State","DCR - DEPT. OF CONSERVATION & RECREATION","20","80","Flood Control","Flood Control","Concrete","CHARLES RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.226334","42.313915"
"","NELSON MILLS POND DAM","FERC P-2801","MA00050","06/15/2012","Private","UD - ROSALIND G. & NATHAN TUFTS, JR.","27","406","Recreation","Recreation","Earth","BENNETT BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.48617","42.69097"
"","FULLER STREET DAM","FERC P-2801","MA00090","-","Private","CARVER MIDDLEBORO CRANBERRY COMPANY","11","112","Irrigation","Irrigation","Earth","TRIBUTARY OF INNETUXET RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.81125335","41.90833391"
"","METHUEN FALLS","-","MA00178","06/12/2015","Private","METHUEN FALLS HYDRO ELECTRIC COMPANY","23","210","Hydroelectric","Hydroelectric","-","SPICKET RIVER","METHUEN","0","ESSEX","MA","MA03","Niki Tsongas (D)","N","N","N","-","-71.1889","42.727"
"","BULL BROOK RESERVOIR DAM","FERC P-2801","MA00230","10/20/2009","Local Government","TOWN OF IPSWICH, UTILITIES DEPARTMENT","10.5","100","Water Supply","Water Supply","Earth","TRIBUTARY OF EGYPT RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.86996736","42.69555337"
"","HASKELL POND DAM","FERC P-2801","MA00155","07/01/2015","Local Government","CITY OF GLOUCESTER, DEPARTMENT OF PUBLIC WORKS","43","1585","Water Supply","Water Supply","Earth","TRIBUTARY OF WALKER CREEK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","06/01/2007","-70.7380449","42.61589702"
"","WARDS POND DAM","FERC P-2801","MA00320","05/02/2011","Private","GIRL SCOUTS OF CONNECTICUT - CAMP TIMBER TRAILS","20","119","Recreation","Recreation","Earth","TRIBUTARY OF WEST BR FARMINGTON RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.051607","42.116621"
"","WHITIN RESERVOIR DAM","FERC P-2801","MA00200","05/04/2015","Local Government","WHITIN RESERVOIR WATERSHED DISTRICT","33","4475","Recreation","Recreation","-","MUMFORD RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","09/01/2012","-71.75771195","42.07248949"
"","BYRON WESTON DAM NO. 1","FERC P-2801","MA00221","10/06/2011","Private","CRANE & COMPANY, INC.","28","580","Fire Protection, Stock, Or Small Fish Pond","Recreation, Fire Protection, Stock, Or Small Fish Pond","Stone","EAST BRANCH HOUSATONIC RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.156553","42.473776"
"","UPPER SACKETT RESERVOIR DAM","FERC P-2801","MA00227","11/19/2014","Local Government","CITY OF PITTSFIELD, OFFICE OF THE MAYOR","76","605","Water Supply","Water Supply","-","SACKETT BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","10/26/2012","-73.16485581","42.41922697"
"","GOOSE POND DAM","FERC P-2801","MA00312","08/04/2014","Local Government","GOOSE POND DAM MAINTENANCE DISTRICT","28","4280","Recreation","Recreation","Earth","GOOSE POND BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","11/20/2014","-73.20158826","42.27314314"
"","NORWOOD POND DAM","FERC P-2801","MA00181","-","Local Government","CITY OF BEVERLY, OFFICE OF THE MAYOR","7","245","-","-","-","MILES RIVER","-","0","-","MA","MA06","Seth Moulton (D)","N","N","N","-","-70.87387","42.5861"
"","SIDNEYS POND DAM","FERC P-2801","MA00190","07/06/2011","Local Government","CITY OF PEABODY, CONSERVATION COMMISSION","9","130","Flood Control","Flood Control, Recreation","Earth","TAPLEY BROOK/GOLDTHWAIT BROOK/NORTH RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.94288718","42.51584661"
"","SHEOMET LAKE DAM","FERC P-2801","MA00057","05/25/2006","State","DCR - DEPT. OF CONSERVATION & RECREATION","17","360","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","TULLY RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.28063","42.676435"
"","PONTOOSUC LAKE DAM","FERC P-2801","MA00309","10/10/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","19","5000","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","WEST BRANCH HOUSATONIC RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","03/01/2013","-73.246564","42.484177"
"","CUSHING POND DAM","FERC P-2801","MA00297","04/30/2013","Private","JEFFREY K. ALEXANDER","10","104","Recreation","Recreation","Concrete","CROOKED MEADOW RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-70.887383","42.208758"
"","MAPLE SPRINGS BROOK #1 DAM","-","MA00035","-","Private","-","12","97.8","-","-","-","MAPLE SPRINGS BROOK","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.65546379","41.79685695"
"","WESTFIELD RESERVOIR DAM","FERC P-2801","MA00734","12/16/2014","Local Government","CITY OF WESTFIELD, WATER RESOURCES DEPARTMENT","41","700","Water Supply","Water Supply","Earth","MOOSE MEADOW BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","09/24/2013","-72.81101379","42.19048111"
"","HUNTS POND","-","MA00634","07/15/2015","Private","WINCHENDON HYDROELECTRIC LLC","15","120","Hydroelectric","Hydroelectric","-","MILLERS RIVER","WINCHENDON","0","WORCESTER","MA","MA03","Niki Tsongas (D)","N","N","N","12/22/2014","-72.0478","42.6791"
"","WATERTOWN DAM","FERC P-2801","MA00456","06/21/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","10","30","Flood Control","Flood Control, Recreation","Earth","CHARLES RIVER","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","-","-71.18923705","42.36538131"
"","LAKE LOUISA DAM","FERC P-2801","MA00629","07/31/2015","Local Government","TOWN OF MILFORD, BOARD OF SELECTMEN","12.7","81","Recreation","Recreation","Earth","HUCKLEBERRY BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.52133732","42.15626083"
"","WESTON RESERVOIR DAM","FERC P-2801","MA00798","08/19/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","44.5","1205","Water Supply","Water Supply","Earth","PINE BROOK","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","02/18/2013","-71.285506","42.348362"
"","MILL POND DAM","FERC P-2801","MA00419","01/15/2014","Local Government","TOWN OF DUXBURY, DEPARTMENT OF PUBLIC WORKS","10.2","38.6","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","ISLAND CREEK","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.71073","42.01705"
"","LAKE BRAY DAM","FERC P-2801","MA00537","06/02/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","13","93","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","UNNAMED TRIBUTARY OF CONNECTICUT RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.61533","42.267257"
"","HORSE POND DAM","FERC P-2801","MA00950","07/07/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","38","1700","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","HORSE POND BROOK","EAST BROOKFIELD","-","WORCESTER","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.0421439","42.28039507"
"","GILL","TURNERS FALLS DAM","MA00849","07/23/2015","Public Utility","FIRSTLIGHT HYDRO GENERATING COMPANY","65","21500","Hydroelectric","Hydroelectric, Recreation","-","CONNECTICUT RIVER","TURNERS FALLS","1","FRANKLIN","MA","MA02","James P. McGovern (D)","N","N","N","12/29/2011","-72.5506","42.6114"
"","BENTS POND DAM","FERC P-2801","MA00647","08/12/2005","Private","UNKNOWN","13","200","Recreation","Water Supply, Recreation","-","TRIBUTARY OF HUBBARDSTON BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.99832735","42.53019139"
"","LOWER BEMIS POND DAM","FERC P-2801","MA00531","05/11/2011","Local Government","CITY OF CHICOPEE, DEPARTMENT OF PUBLIC WORKS","33","43","Recreation","Recreation","Earth","ABBEY BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.590544","42.146951"
"","GOVERNMENT MILL DAM","FERC P-2801","MA00845","10/06/2011","Private","CRANE & COMPANY, INC.","17.5","118","Recreation","Recreation","-","EAST BRANCH HOUSATONIC RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.193856","42.469577"
"","LITTLE RIVER DAM","FERC P-2801","MA00739","06/19/2013","Private","UD - SHAIN REALTY TRUST","12","25","Recreation","Recreation","Stone","LITTLE RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.08868","42.777645"
"","PEPPERS MILL POND DAM","FERC P-2801","MA00591","08/19/2009","State","DCR - DEPT. OF CONSERVATION & RECREATION","6.75","71","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","BEAVER BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.303242","42.28091"
"","ASNEBUMSKIT POND DAM","FERC P-2801","MA00679","05/21/2012","Local Government","TOWN OF PAXTON, BOARD OF SELECTMEN","11","660","Water Supply","Water Supply","Earth","TRIBUTARY OF ASNEBUMSKIT BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.90947496","42.32637663"
"","UPPER WESTBOROUGH RESERVOIR DAM","FERC P-2801","MA00940","10/01/2013","Local Government","TOWN OF WESTBOROUGH, CONSERVATION COMMISSION","15","850","Water Supply","Water Supply","Earth","PICCADILLY BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.603477","42.243152"
"","SOUTHBRIDGE RESERVOIR #3 DAM","FERC P-2801","MA00691","09/28/2011","Local Government","TOWN OF SOUTHBRIDGE, DEPARTMENT OF PUBLIC WORKS","24","350","Water Supply","Water Supply","Earth","HATCHET BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.07212809","42.05649566"
"","BRECKWOOD POND DAM","FERC P-2801","MA00570","11/01/2006","Local Government","CITY OF SPRINGFIELD, DEPARTMENT OF PARKS, BUILDINGS, AND RECREATION MANAGEMENT","20","459","Recreation","Recreation","Earth","NORTH BRANCH MILL RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.524492","42.118244"
"","PINE BROOK DAM","FERC P-2801","MA00617","04/01/2009","Private","SOUTH BARRE ROD AND GUN CLUB","7","80","Recreation","Recreation","-","PINE HILL BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.13384148","42.36390771"
"","BATES POWER RESERVOIR DAM","FERC P-2801","MA00650","06/15/2010","Local Government","TOWN OF ATHOL, BOARD OF SELECTMEN","9","230","Recreation","Recreation","-","KENDALL BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.15471472","42.56794912"
"","GOOSE COVE SOUTHWEST DIKE","FERC P-2801","MA01100","10/01/2013","Local Government","CITY OF GLOUCESTER, DEPARTMENT OF PUBLIC WORKS","9.3","1140","Water Supply","Water Supply","Earth","ANNISQUAM RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","06/01/2007","-70.667257","42.642813"
"","CHICKEN BROOK DAM","FERC P-2801","MA02947","11/10/2009","Private","MASSACHUSETTS AUDUBON SOCIETY, INC.","12","140","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","CHICKEN BROOK","HOLLISTON","-","MIDDLESEX","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","-","-71.45791","42.2195"
"","DARK BROOK RESERVOIR DIKE A","FERC P-2801","MA02734","10/28/2014","Local Government","AUBURN WATER DISTRICT","11","4110","Recreation","Recreation","Earth","DARK BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.858838","42.19819"
"","FOUNDRY POND","FERC P-2801","MA02426","04/01/2003","Local Government","TOWN OF HINGHAM, BOARD OF SELECTMEN","11","50","Recreation","Recreation","-","WEIR RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-70.86087139","42.24697563"
"","ROBINSON POND DAM","-","MA03057","11/05/2014","Local Government","TOWN OF MANSFIELD, BOARD OF SELECTMEN","10","100","Recreation","Recreation","-","WADING RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.262882","42.011719"
"","BLACKSTONE RIVER SARANAC DAM AT CANAL STREET","FERC P-2801","MA01164","-","Local Government","TOWN OF BLACKSTONE, BOARD OF SELECTMEN","20","300","Recreation","Water Supply, Recreation","-","BLACKSTONE RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.538097","42.016989"
"","OLD CABOT POND DAM","FERC P-2801","MA01082","12/16/2011","Local Government","TOWN OF EASTON, BOARD OF SELECTMEN","13.2","82","Recreation","Recreation","Earth","BEAVER BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.13218","42.024837"
"","DUDLEY POND DAM","FERC P-2801","MA01117","-","State","DCR - DEPT. OF CONSERVATION & RECREATION","32","305","-","-","-","TRIBUTARY OF SUDBURY RIVER","-","0","-","MA","MA05","Katherine M. Clark (D)","N","N","N","-","-71.366182","42.333789"
"","LAC MARIE DAM","FERC P-2801","MA01997","02/29/2012","Private","CISTERCIAN ABBEY OF SPENCER, INC.","12.5","42.6","Recreation","Recreation","Earth","SEVEN MILE RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.00114466","42.29179532"
"","PLOW SHOP POND DIKE","FERC P-2801","MA01185","-","Private","-","8.5","460","-","-","-","TRIBUTARY OF NONACOICUS BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","N","N","N","-","-71.59036","42.55481"
"","MILL POND DAM","FERC P-2801","MA01121","07/22/2014","Local Government","TOWN OF BURLINGTON, DEPARTMENT OF PUBLIC WORKS","50","1746","Water Supply","Water Supply","-","PUMPED STORAGE RESERVOIR FROM SHAWSHEEN RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","11/03/2014","-71.17098174","42.51486526"
"","PIKES POND DAM","FERC P-2801","MA01177","06/16/2000","Private","NATIONAL HERITAGE FOUNDATION, INC.","13","170","Recreation","Recreation","-","TRIBUTARY OF LITTLE RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-71.93767221","42.16230641"
"","WAITE POND DAM","FERC P-2801","MA01016","03/01/2000","Private","RONALD E. BURTON TRAINING VILLAGE, INC.","9","160","Recreation","Recreation","-","TRIBUTARY OF JOSLIN BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.98178713","42.51096162"
"","NORTHFIELD MT. WEST DIKE INLET","FERC P-2801","MA02662","-","Private","FIRSTLIGHT HYDRO GENERATING COMPANY - NORTHFIELD MOUNTAIN STATION","0","0","Hydroelectric","Hydroelectric","Earth","BRIGGS BROOK","-","0","-","MA","MA02","James P. McGovern (D)","N","N","N","-","-72.44449262","42.60844553"
"","BARRETTS MILL ROAD DAM","FERC P-2801","MA01128","05/29/2014","Private","CONCORD ROD & GUN CLUB, INC.","9","68.5","Recreation","Recreation","Earth","SPENCER BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.377636","42.475576"
"","DEAN POND DAM","FERC P-2801","MA01304","05/03/2013","Private","OAKHAM PINE ACRES, INC.","8","280","Recreation","Recreation","Earth","FIVEMILE RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.0309864","42.34242389"
"","NEPONSET RIVER DAM - LOWER MILLS","FERC P-2801","MA01093","06/24/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","14","250","Flood Control","Flood Control","-","NEPONSET RIVER","-","0","-","MA","MA07","Michael E. Capuano (D)","Y","Y","Y","-","-71.06881","42.270736"
"","SCALLEY DAM","FERC P-2801","MA01124","07/22/2010","Local Government","CITY OF WOBURN, ENGINEERING DEPARTMENT","14.5","1508","Water Supply","Water Supply","Earth","SUCKER'S BROOK, TOWN MEADOWN BROOK, FOWLE BROOK - INFLOW","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","-","-71.15178504","42.46548258"
"","STORE POND DAM","FERC P-2801","MA02462","08/28/2012","Local Government","TOWN OF PLYMOUTH, BOARD OF SELECTMEN","7","30","Recreation","Recreation","Earth","UNKNOWN","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.689321","41.97787"
"","MUSQUETAQUID POND DAM (UPPER)","FERC P-2801","MA01129","08/10/2009","Private","MUSKETAQUID SPORTSMENS CLUB","8","78.4","Recreation","Recreation","-","SECOND DIVISION BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.4092","42.441556"
"","KITCHEN BROOK DAM","FERC P-2801","MA01844","09/17/2012","Local Government","TOWN OF CHESHIRE, TOWN ADMINISTRATOR","10","3","-","-","-","KITCHEN BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.177023","42.569971"
"","NEWTON LOWER FALLS DAM","FERC P-2801","MA00343","06/21/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","9","75","Flood Control","Flood Control, Recreation","-","CHARLES RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.2582641","42.32518287"
"","GILBOA POND DAM","FERC P-2801","MA00199","08/14/2009","Private","CUZINS OUTDOORS, CORP","14","285","Water Supply","Water Supply","Stone","RUMFORD RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.69844518","42.08365923"
"","HAYDEN POND DAM","FERC P-2801","MA00289","05/18/2011","Private","DANIEL S. BURACK","13","170","Recreation","Recreation","Masonry","WEST BR FARMINGTON RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.11158836","42.23005503"
"","STILES POND DAM","FERC P-2801","MA00158","08/28/2014","Local Government","TOWN OF BOXFORD, BOARD OF SELECTMEN","10","600","Recreation","Recreation","Earth","TRIBUTARY OF FISH BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.042372","42.68542"
