"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Lat","Lon"
"","OLD GRIST MILL POND DAM","FERC P-2801","MA00668","08/04/2012","Local Government","TOWN OF UPTON, BOARD OF SELECTMEN","19","115","Recreation","Recreation","-","CENTER BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.602143","42.174221"
"","ELLIS POND DAM","FERC P-2801","MA00805","01/21/2014","Local Government","TOWN OF NORWOOD, DEPARTMENT OF PUBLIC WORKS","16.5","300","Recreation","Recreation","Earth","HAWES BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","05/01/2007","-71.22089162","42.18101912"
"","HOLDEN RESERVOIR DAM #2","FERC P-2801","MA00619","09/16/2015","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","66.1","1900","Water Supply","Water Supply","Earth","TATNUCK BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","06/01/2007","-71.8659678","42.2963023"
"","ECHO LAKE DAM","FERC P-2801","MA00446","04/29/2015","Private","MILFORD WATER COMPANY","41","1946","Water Supply","Water Supply","-","CHARLES RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","04/22/2014","-71.50802605","42.19230078"
"","WEST SPRINGFIELD","STRATHMORE PAPER COMPANY DAM","MA00611","07/18/2013","Private","A & D HYDRO, INC.","18","200","Hydroelectric","Hydroelectric","-","WESTFIELD RIVER","WEST SPRINGFIELD","0","HAMPDEN","MA","MA01","Richard E. Neal (D)","N","N","N","02/21/2013","-72.648","42.099"
"","EAST BRIMFIELD DAM","EAST BRIMFIELD LAKE","MA00966","10/15/2014","Federal","CENAE","53","71000","Flood Control","Flood Control, Recreation","-","QUINEBAUG RIVER","STURBRIDGE","1","WORCESTER","MA","MA01","Richard E. Neal (D)","N","N","N","09/15/2014","-72.126671","42.10833"
"","VINICA POND","FERC P-2801","MA00538","07/01/2009","Private","THE NORCROSS WILDLIFE SANCTUARY","12.5","105","Recreation","Recreation","Earth","VINICA BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.24750698","42.04988534"
"","NORCROSS POND #2 DAM","FERC P-2801","MA00566","07/01/2009","Private","THE NORCROSS WILDLIFE SANCTUARY","18.5","86","Recreation","Recreation","Earth","VINICA RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.26615","42.04849"
"","FORGE POND DAM","FERC P-2801","MA00806","07/31/2012","Local Government","TOWN OF CANTON, BOARD OF SELECTMEN","13","160","Recreation","Recreation","-","CANTON RIVER AKA EAST BRANCH OF NEPONSET RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-71.145516","42.154457"
"","LUTHER RESERVOIR DAM","FERC P-2801","MA00857","01/05/2015","Local Government","CITY OF ATTLEBORO, WATER DEPARTMENT","16","160","Water Supply","Water Supply","Earth","SEVEN MILE RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.3366902","41.93561742"
